day,hour,value
1,1,0.10517084902
1,2,0.0961868281804
1,3,0.0903321796516
1,4,0.0850690935617
1,5,0.100036113836
1,6,0.122710525913
1,7,0.114684097784
1,8,0.1159983119
1,9,0.118407947326
1,10,0.116864094778
1,11,0.108968709334
1,12,0.104424844998
1,13,0.10198103621
1,14,0.101326549069
1,15,0.100451461729
1,16,0.101623149001
1,17,0.108220595806
1,18,0.110561424252
1,19,0.116067431552
1,20,0.119969780465
1,21,0.123178723995
1,22,0.125169262404
1,23,0.121489157493
1,24,0.119076016903
2,1,0.111415452997
2,2,0.1039096602
2,3,0.097616422328
2,4,0.090221860269
2,5,0.0970505756363
2,6,0.117444775097
2,7,0.112929089959
2,8,0.116103489118
2,9,0.119642325789
2,10,0.118250928369
2,11,0.110726666495
2,12,0.106307609607
2,13,0.10533316492
2,14,0.104345593252
2,15,0.104174998141
2,16,0.104397963055
2,17,0.11144754302
2,18,0.112778773957
2,19,0.117925071766
2,20,0.123449368542
2,21,0.125420649774
2,22,0.126410404072
2,23,0.1257834883
2,24,0.121862380199
3,1,0.116709546879
3,2,0.109256894503
3,3,0.101352688154
3,4,0.0941413330523
3,5,0.0998059275797
3,6,0.121353428923
3,7,0.115350086704
3,8,0.117901924075
3,9,0.122095519472
3,10,0.120393736362
3,11,0.112913531539
3,12,0.108784383436
3,13,0.107206745887
3,14,0.106218303967
3,15,0.107379231308
3,16,0.10754457258
3,17,0.113212930895
3,18,0.113772419061
3,19,0.118640435686
3,20,0.123062707738
3,21,0.125208667085
3,22,0.126721047276
3,23,0.125629213503
3,24,0.122835558543
4,1,0.117715310345
4,2,0.111334257826
4,3,0.103561095093
4,4,0.0955524942131
4,5,0.101568536758
4,6,0.12228387852
4,7,0.115791321656
4,8,0.117533284238
4,9,0.121671944367
4,10,0.119774606187
4,11,0.111757883089
4,12,0.108154382649
4,13,0.106516431407
4,14,0.106507609706
4,15,0.1063363845
4,16,0.105940838796
4,17,0.111905484447
4,18,0.112979969462
4,19,0.117487336817
4,20,0.121312506344
4,21,0.122848389819
4,22,0.123898137321
4,23,0.123894462438
4,24,0.122800978526
5,1,0.119519616517
5,2,0.114244164174
5,3,0.106908783701
5,4,0.0985776550018
5,5,0.10105023478
5,6,0.118802860246
5,7,0.116321403632
5,8,0.116226823055
5,9,0.120047658548
5,10,0.116884765752
5,11,0.108459030127
5,12,0.104827006747
5,13,0.104417671734
5,14,0.103402864675
5,15,0.102527733388
5,16,0.102273021209
5,17,0.107787051705
5,18,0.10902971007
5,19,0.113181411086
5,20,0.114591836245
5,21,0.11504998022
5,22,0.112687210305
5,23,0.110957997082
5,24,0.111461893515
6,1,0.111525223322
6,2,0.112016524782
6,3,0.110520826474
6,4,0.106021649977
6,5,0.0944500672799
6,6,0.0982199894942
6,7,0.103630192596
6,8,0.104598944403
6,9,0.103290459528
6,10,0.099161871827
6,11,0.0967655687131
6,12,0.0962112462117
6,13,0.0962473330061
6,14,0.0937798454591
6,15,0.0931260216081
6,16,0.0929787801073
6,17,0.093455103677
6,18,0.0939366595785
6,19,0.0962062021603
6,20,0.0983064632182
6,21,0.104761832058
6,22,0.103091259407
6,23,0.103718938588
6,24,0.10508550616
7,1,0.107295218206
7,2,0.109657255433
7,3,0.110202743208
7,4,0.106171188855
7,5,0.0930397654214
7,6,0.0903857366158
7,7,0.0964488073747
7,8,0.0975234969532
7,9,0.0985022685884
7,10,0.0958580663693
7,11,0.0961845256365
7,12,0.0984880060655
7,13,0.0998936377957
7,14,0.0993974770508
7,15,0.0982342334641
7,16,0.100658851314
7,17,0.103576517689
7,18,0.103381165876
7,19,0.104889835926
7,20,0.106288679772
7,21,0.110117967592
7,22,0.111536938822
7,23,0.112538731199
7,24,0.110111938723
